date,value
2016-11-10,1200881.9012999972
2016-11-11,1203901.1246999972
2016-11-14,1214124.480099997
2016-11-15,1213809.531999997
2016-11-16,1220801.885799997
2016-11-17,1220940.517699997
2016-11-18,1225756.186299997
2016-11-21,1229159.2619999968
2016-11-22,1231577.6776999966
2016-11-24,1237535.6696999967
2016-11-25,1239265.3416999967
2016-11-28,1239422.8588999966
2016-11-29,1238065.8526999967
2016-11-30,1238119.2978999969
2016-12-01,1244715.5418999968
2016-12-02,1242523.2982999966
2016-12-05,1238472.0735999967
2016-12-06,1242952.9177999967
2016-12-07,1248095.3720999965
2016-12-08,1257075.5170999963
2016-12-09,1264743.5049999966
2016-12-12,1268042.2464999966
2016-12-13,1269815.0172999967
2016-12-14,1269240.4219999965
2016-12-15,1269828.2305999966
2016-12-16,1274225.2663999966
2016-12-19,1272725.7992999968
2016-12-20,1275039.2371999966
2016-12-21,1272658.2252999968
2016-12-22,1271917.5816999967
2016-12-26,1270322.9183999968
2016-12-27,1269688.0232999967
2016-12-28,1271285.2263999968
2016-12-29,1261953.8988999967
2016-12-30,1260913.7497999966
2017-01-04,1277286.9295999967
2017-01-05,1274598.2820999967
2017-01-06,1271691.3131999967
2017-01-10,1265934.5430999966
2017-01-11,1269948.7646999967
2017-01-12,1262939.2747999968
2017-01-13,1267227.5522999968
2017-01-16,1260694.557199997
2017-01-17,1252614.2371999968
2017-01-18,1256122.2526999968
2017-01-19,1261793.4640999967
2017-01-20,1264396.0571999967
2017-01-23,1257309.6138999967
2017-01-24,1252502.9769999967
2017-01-25,1260624.7477999968
2017-01-26,1271822.4648999968
2017-01-27,1273015.8149999967
2017-01-30,1270021.3481999966
2017-01-31,1258226.5091999967
2017-02-01,1261624.1032999966
2017-02-02,1253324.0771999967
2017-02-03,1253889.7662999965
2017-02-06,1255281.4745999966
2017-02-07,1253942.3570999966
2017-02-08,1257337.9461999966
2017-02-09,1253755.1238999965
2017-02-10,1269564.0612999967
2017-02-13,1273593.2276999964
2017-02-14,1267461.1468999963
2017-02-15,1274046.5927999965
2017-02-16,1271660.0858999966
2017-02-17,1268430.1460999965
2017-02-20,1268714.8808999965
2017-02-21,1273593.7169999965
2017-02-22,1274377.8904999965
2017-02-23,1273719.7946999965
2017-02-24,1269874.1655999965
2017-02-27,1264114.8913999964
2017-02-28,1265712.1639999964
2017-03-01,1273792.9905999964
2017-03-02,1280232.8308999965
2017-03-03,1276876.5615999964
2017-03-06,1274389.0210999963
2017-03-07,1273255.6953999964
2017-03-08,1270583.5466999963
2017-03-09,1272543.5319999964
2017-03-10,1280985.9812999964
2017-03-13,1281794.9455999965
2017-03-14,1281461.1234999965
2017-03-15,1279673.8504999962
2017-03-16,1280387.4883999964
2017-03-17,1277917.0189999964
2017-03-21,1276282.6079999963
2017-03-22,1261806.1549999963
2017-03-23,1263299.1054999963
2017-03-24,1269497.2649999964
2017-03-27,1260782.6612999963
2017-03-28,1267750.7791999965
2017-03-29,1272536.9155999967
2017-03-30,1267317.4762999965
2017-03-31,1262006.1596999965
2017-04-03,1263427.6268999963
2017-04-04,1257408.5243999963
2017-04-05,1258446.7916999962
2017-04-06,1248855.6853999961
2017-04-07,1251660.342899996
2017-04-10,1257319.495299996
2017-04-11,1255114.124199996
2017-04-12,1248922.3456999962
2017-04-13,1244442.1469999962
2017-04-14,1240971.052899996
2017-04-17,1242448.5925999961
2017-04-18,1244121.1302999961
2017-04-19,1243838.8001999962
2017-04-20,1243604.9872999962
2017-04-21,1249821.7074999963
2017-04-24,1256954.4096999965
2017-04-25,1265419.9596999963
2017-04-26,1273651.7948999964
2017-04-27,1272969.2444999963
2017-04-28,1270400.5738999962
2017-05-01,1273948.7042999961
2017-05-02,1278296.641699996
2017-05-08,1292741.281399996
2017-05-09,1290643.000699996
2017-05-10,1291661.533599996
2017-05-11,1291634.918499996
2017-05-12,1287921.6028999959
2017-05-15,1286444.492899996
2017-05-16,1287977.217999996
2017-05-17,1283531.8546999958
2017-05-18,1275498.163299996
2017-05-19,1277532.447999996
2017-05-22,1280322.325399996
2017-05-23,1277700.359299996
2017-05-24,1282614.7705999962
2017-05-25,1284349.937899996
2017-05-26,1279937.6976999962
2017-05-29,1279981.6111999962
2017-05-30,1279584.5618999961
2017-05-31,1278560.0505999962
2017-06-01,1285944.7543999963
2017-06-02,1297942.3053999962
2017-06-05,1296650.0988999964
2017-06-06,1290876.4400999963
2017-06-07,1291708.4648999963
2017-06-08,1289945.5358999963
2017-06-09,1291773.1016999963
2017-06-12,1290270.5453999965
2017-06-13,1290507.6449999963
2017-06-14,1290204.3733999962
2017-06-15,1287525.912399996
2017-06-16,1289959.5155999963
2017-06-19,1293748.4849999961
2017-06-20,1298843.492499996
2017-06-21,1296265.733099996
2017-06-22,1295020.7706999963
2017-06-23,1295961.287199996
2017-06-26,1295936.701299996
2017-06-27,1299167.8790999963
2017-06-28,1297889.1850999962
2017-06-29,1301742.554999996
2017-06-30,1296414.525599996
2017-07-03,1297630.1831999961
2017-07-04,1296995.1032999961
2017-07-05,1299370.092199996
2017-07-06,1296859.4416999961
2017-07-07,1294953.4665999962
2017-07-10,1300568.459699996
2017-07-11,1303793.2231999962
2017-07-12,1300552.338399996
2017-07-13,1300155.609799996
2017-07-14,1302025.864499996
2017-07-18,1298886.555499996
2017-07-19,1298547.853999996
2017-07-20,1302742.397299996
2017-07-21,1301025.333999996
2017-07-24,1296788.628699996
2017-07-25,1295518.9036999962
2017-07-26,1298749.745499996
2017-07-27,1299370.7570999959
2017-07-28,1295223.4873999958
2017-07-31,1295275.780899996
2017-08-01,1295680.108199996
2017-08-02,1298378.124499996
2017-08-03,1298157.808299996
2017-08-04,1295152.7655999959
2017-08-07,1298374.203599996
2017-08-08,1297418.919199996
2017-08-09,1290416.5918999957
2017-08-10,1291152.437999996
2017-08-14,1284189.655799996
2017-08-15,1290490.053299996
2017-08-16,1290074.1169999961
2017-08-17,1289960.1884999962
2017-08-18,1282065.8234999962
2017-08-21,1280677.3420999963
2017-08-22,1280826.0519999964
2017-08-23,1281668.3932999964
2017-08-24,1278649.4348999963
2017-08-25,1281621.1437999965
2017-08-28,1281762.3954999964
2017-08-29,1279532.0340999963
2017-08-30,1284463.6904999963
2017-08-31,1288938.0422999964
2017-09-01,1290571.3061999963
2017-09-04,1284626.3082999964
2017-09-05,1280363.3684999966
2017-09-06,1280165.2261999967
2017-09-07,1282182.1566999967
2017-09-08,1278504.0938999965
2017-09-11,1286688.6140999966
2017-09-12,1294774.1451999967
2017-09-13,1297918.6908999966
2017-09-14,1295628.9557999966
2017-09-15,1298045.5818999966
2017-09-19,1310348.3420999967
2017-09-20,1309965.2154999967
2017-09-21,1310986.0887999968
2017-09-22,1309473.7820999967
2017-09-25,1312349.6465999968
2017-09-26,1312139.3244999968
2017-09-27,1314554.4881999968
2017-09-28,1317604.6080999966
2017-09-29,1317284.6294999965
2017-10-02,1315374.6175999965
2017-10-03,1322389.3729999966
2017-10-04,1322478.0131999967
2017-10-05,1322168.4102999968
2017-10-06,1325011.7243999967
2017-10-10,1327719.147799997
2017-10-11,1329613.6402999968
2017-10-12,1330601.1369999968
2017-10-13,1336780.3525999966
2017-10-16,1340299.4497999966
2017-10-17,1342737.5275999964
2017-10-18,1342667.5848999966
2017-10-19,1345317.0108999966
2017-10-20,1345588.1389999965
2017-10-23,1353403.8736999966
2017-10-24,1357226.3407999966
2017-10-25,1355712.7730999966
2017-10-26,1356637.3457999965
2017-10-27,1364285.5201999967
2017-10-30,1364716.8002999965
2017-10-31,1365574.6340999966
2017-11-01,1378159.1522999965
2017-11-02,1381410.5545999967
2017-11-06,1380612.9425999965
2017-11-07,1392835.4997999964
2017-11-08,1393091.4561999964
2017-11-09,1391820.4256999963
2017-11-10,1385443.8472999963
2017-11-13,1376392.6671999963
2017-11-14,1376488.2310999963
2017-11-15,1363667.4736999962
2017-11-16,1372927.8027999962
2017-11-17,1374183.2494999962
2017-11-20,1369935.4514999962
2017-11-21,1375372.3455999964
2017-11-22,1378494.0348999966
2017-11-24,1377129.6032999966
2017-11-27,1374588.6430999965
